FileName	Treatment	GErep	Mouse
US84703594_252182810507_S01_miRNA_105_Dec08_1_1.txt	C	1	D1601
US84703594_252182810507_S01_miRNA_105_Dec08_1_2.txt	T	2	D1450
US84703594_252182810507_S01_miRNA_105_Dec08_1_3.txt	CR	3	C7157
US84703594_252182810507_S01_miRNA_105_Dec08_1_4.txt	CR	3	C7055
US84703594_252182810507_S01_miRNA_105_Dec08_2_1.txt	CR	3	C7051
US84703594_252182810507_S01_miRNA_105_Dec08_2_2.txt	CT	4	D328
US84703594_252182810507_S01_miRNA_105_Dec08_2_3.txt	CT	4	C9055
US84703594_252182810507_S01_miRNA_105_Dec08_2_4.txt	CT	4	C9178
US84703594_252182810508_S01_miRNA_105_Dec08_1_1.txt	CTR	5	C9181
US84703594_252182810508_S01_miRNA_105_Dec08_1_2.txt	CTR	5	D894
US84703594_252182810508_S01_miRNA_105_Dec08_1_3.txt	CTR	5	D899
US84703594_252182810508_S01_miRNA_105_Dec08_1_4.txt	CTR	5	D861
US84703594_252182810508_S01_miRNA_105_Dec08_2_1.txt	CTR	5	D905
US84703594_252182810508_S01_miRNA_105_Dec08_2_2.txt	CTR	5	D895
US84703594_252182810508_S01_miRNA_105_Dec08_2_3.txt	CT-LSL	6	D3289
US84703594_252182810508_S01_miRNA_105_Dec08_2_4.txt	CT-LSL	6	D2983
US84703594_252182810509_S01_miRNA_105_Dec08_1_1.txt	CTR OFF	7	D101
US84703594_252182810509_S01_miRNA_105_Dec08_1_2.txt	CTR OFF	7	D111
US84703594_252182810509_S01_miRNA_105_Dec08_1_3.txt	CTR OFF	7	D95
US84703594_252182810509_S01_miRNA_105_Dec08_1_4.txt	CTR OFF	7	D1604
US84703594_252182810509_S01_miRNA_105_Dec08_2_1.txt	CT-LSL OFF	8	D3153
US84703594_252182810509_S01_miRNA_105_Dec08_2_2.txt	CT-LSL OFF	8	D3285
US84703594_252182810509_S01_miRNA_105_Dec08_2_3.txt	CT-LSL OFF	8	D2517
US84703594_252182810509_S01_miRNA_105_Dec08_2_4.txt	CT-LSL OFF	8	D2196
